Hodnota CLO;Počet v.;Hodnota AUT;Šestý pád pro 678;Název pro 370 s ind.1;Podpole F;Najít údaj v ();Najít název města v A;Název města v C;Porovnání město A:C
Katov (Tábor);1;;;;;Tábor;Katov;#HODNOTA!;#HODNOTA!
Katzenberg (Rakousko);1;;;;;Rakousko;Katzenberg;#HODNOTA!;#HODNOTA!
Kazaň (Šumperk);1;;;;;Šumperk;Kazaň;#HODNOTA!;#HODNOTA!
Kehl (Německo);1;;;;;Německo;Kehl;#HODNOTA!;#HODNOTA!
Keisskamma (Jihoafrická republ.);1;;;;;Jihoafrická republ.;Keisskamma;#HODNOTA!;#HODNOTA!
Kejnice (Klatovy);1;;;;;Klatovy;Kejnice;#HODNOTA!;#HODNOTA!
Kelčice (Prostějov);1;;;;;Prostějov;Kelčice;#HODNOTA!;#HODNOTA!
Kelečin (Ukrajina);1;;;;;Ukrajina;Kelečin;#HODNOTA!;#HODNOTA!
Kemmelbach u Ibbsu (Rakousko);1;;;;;Rakousko;Kemmelbach u Ibbsu;#HODNOTA!;#HODNOTA!
Kempfenhausen (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Kempfenhausen;#HODNOTA!;#HODNOTA!
Kent (USA);1;;;;;USA;Kent;#HODNOTA!;#HODNOTA!
Kewaunee (USA);1;;;;;USA;Kewaunee;#HODNOTA!;#HODNOTA!
Khasov (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Khasov;#HODNOTA!;#HODNOTA!
Kierling (Rakousko);1;;;;;Rakousko;Kierling;#HODNOTA!;#HODNOTA!
Kierling /u Vídně/ (Rakousko);1;;;;;Rakousko;Kierling /u Vídně/;#HODNOTA!;#HODNOTA!
Kietrz (Polsko);1;;;;;Polsko;Kietrz;#HODNOTA!;#HODNOTA!
Kingsbarns (Velká Británie);1;;;;;Velká Británie;Kingsbarns;#HODNOTA!;#HODNOTA!
Kirchberg (Německo);1;;;;;Německo;Kirchberg;#HODNOTA!;#HODNOTA!
Kirjat Tivon (Izrael);1;;;;;Izrael;Kirjat Tivon;#HODNOTA!;#HODNOTA!
Kiron (Izrael);1;;;;;Izrael;Kiron;#HODNOTA!;#HODNOTA!
Kirovograd (SSSR);1;;;;;SSSR;Kirovograd;#HODNOTA!;#HODNOTA!
Kirschlag (Rakousko);1;;;;;Rakousko;Kirschlag;#HODNOTA!;#HODNOTA!
Kirschzarten bei Freiburg (Německo);1;;;;;Německo;Kirschzarten bei Freiburg;#HODNOTA!;#HODNOTA!
Kis-Körösi (Maďarsko);1;;;;;Maďarsko;Kis-Körösi;#HODNOTA!;#HODNOTA!
Kislovodsk (SSSR);1;;;;;SSSR;Kislovodsk;#HODNOTA!;#HODNOTA!
Kitchener (Kanada);1;;;;;Kanada;Kitchener;#HODNOTA!;#HODNOTA!
Kitzingen (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Kitzingen;#HODNOTA!;#HODNOTA!
Klamoš (Hradec Králové);1;;;;;Hradec Králové;Klamoš;#HODNOTA!;#HODNOTA!
Klanečná (Havlíčkův Brod);1;;;;;Havlíčkův Brod;Klanečná;#HODNOTA!;#HODNOTA!
Klášter Maria Laach (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Klášter Maria Laach;#HODNOTA!;#HODNOTA!
Klášterec (Šumperk);4;;;;;Šumperk;Klášterec;#HODNOTA!;#HODNOTA!
Klášterní Skalice (Kolín);1;;;;;Kolín;Klášterní Skalice;#HODNOTA!;#HODNOTA!
Klatovec (Jihlava);1;;;;;Jihlava;Klatovec;#HODNOTA!;#HODNOTA!
Klause u Uhliště (Klatovy);1;;;;;Klatovy;Klause u Uhliště;#HODNOTA!;#HODNOTA!
Klausenburg (Rumunsko);1;;;;;Rumunsko;Klausenburg;#HODNOTA!;#HODNOTA!
Klečůvka (Zlín);1;;;;;Zlín;Klečůvka;#HODNOTA!;#HODNOTA!
Klein Trebbow (Německo);1;;;;;Německo;Klein Trebbow;#HODNOTA!;#HODNOTA!
Klein-Schwarzenlohe (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Klein-Schwarzenlohe;#HODNOTA!;#HODNOTA!
Klenovec (Makedonie);1;;;;;Makedonie;Klenovec;#HODNOTA!;#HODNOTA!
Klenovice (Tábor);1;;;;;Tábor;Klenovice;#HODNOTA!;#HODNOTA!
Klepáčov (Blansko);1;;;;;Blansko;Klepáčov;#HODNOTA!;#HODNOTA!
Klettendorf (Polsko);1;;;;;Polsko;Klettendorf;#HODNOTA!;#HODNOTA!
Klikov (Jindřichův Hradec);1;;;;;Jindřichův Hradec;Klikov;#HODNOTA!;#HODNOTA!
Klimentov (Cheb);1;;;;;Cheb;Klimentov;#HODNOTA!;#HODNOTA!
Klimětice (Příbram);1;;;;;Příbram;Klimětice;#HODNOTA!;#HODNOTA!
Klincy Braňskaja oblast (SSSR);1;;;;;SSSR;Klincy Braňskaja oblast;#HODNOTA!;#HODNOTA!
Klížská Nemá (Komárno);1;;;;;Komárno;Klížská Nemá;#HODNOTA!;#HODNOTA!
Klokoč (Litoměřice);1;;;;;Litoměřice;Klokoč;#HODNOTA!;#HODNOTA!
Klokočov (Nový Jičín);1;;;;;Nový Jičín;Klokočov;#HODNOTA!;#HODNOTA!
Klokoty (Tábor);1;;;;;Tábor;Klokoty;#HODNOTA!;#HODNOTA!
Klopeiner See (Rakousko);1;;;;;Rakousko;Klopeiner See;#HODNOTA!;#HODNOTA!
Klopotovice (Olomouc);1;;;;;Olomouc;Klopotovice;#HODNOTA!;#HODNOTA!
Kloster Rein (Rakousko);1;;;;;Rakousko;Kloster Rein;#HODNOTA!;#HODNOTA!
Kloušov (Plzeň jih);1;;;;;Plzeň jih;Kloušov;#HODNOTA!;#HODNOTA!
Klucké Chvalovice (Kutná Hora);1;;;;;Kutná Hora;Klucké Chvalovice;#HODNOTA!;#HODNOTA!
Kluž (Rumunsko);1;;;;;Rumunsko;Kluž;#HODNOTA!;#HODNOTA!
Kněževes (Blansko);1;;;;;Blansko;Kněževes;#HODNOTA!;#HODNOTA!
Kněževisko (Blansko);1;;;;;Blansko;Kněževisko;#HODNOTA!;#HODNOTA!
Kněžpole (Uherské Hradiště);1;;;;;Uherské Hradiště;Kněžpole;#HODNOTA!;#HODNOTA!
Knin (Chorvatsko);1;;;;;Chorvatsko;Knin;#HODNOTA!;#HODNOTA!
Knínice (Jihlava);1;;;;;Jihlava;Knínice;#HODNOTA!;#HODNOTA!
Kníničky (Olomouc);1;;;;;Olomouc;Kníničky;#HODNOTA!;#HODNOTA!
Knířov (Ústí nad Orlicí);1;;;;;Ústí nad Orlicí;Knířov;#HODNOTA!;#HODNOTA!
Kobeliarovo (Rožňava);1;;;;;Rožňava;Kobeliarovo;#HODNOTA!;#HODNOTA!
Kobeřice (Vyškov);1;;;;;Vyškov;Kobeřice;#HODNOTA!;#HODNOTA!
Kobylničky (Prostějov);1;;;;;Prostějov;Kobylničky;#HODNOTA!;#HODNOTA!
Kocelovice (Strakonice);1;;;;;Strakonice;Kocelovice;#HODNOTA!;#HODNOTA!
Kocourovec (Olomouc);1;;;;;Olomouc;Kocourovec;#HODNOTA!;#HODNOTA!
Kočovce (Trenčín);1;;;;;Trenčín;Kočovce;#HODNOTA!;#HODNOTA!
Koda (Beroun);1;;;;;Beroun;Koda;#HODNOTA!;#HODNOTA!
Kochov (Blansko);2;;;;;Blansko;Kochov;#HODNOTA!;#HODNOTA!
Kojatice (Svidník);1;;;;;Svidník;Kojatice;#HODNOTA!;#HODNOTA!
Kojátky (Vyškov);3;;;;;Vyškov;Kojátky;#HODNOTA!;#HODNOTA!
Kojetín na Moravě (Prostějov);1;;;;;Prostějov;Kojetín na Moravě;#HODNOTA!;#HODNOTA!
Kojice (Pardubice);1;;;;;Pardubice;Kojice;#HODNOTA!;#HODNOTA!
Kojšov (Gelnica);1;;;;;Gelnica;Kojšov;#HODNOTA!;#HODNOTA!
Kokoř (Plzeň jih);1;;;;;Plzeň jih;Kokoř;#HODNOTA!;#HODNOTA!
Kokovice (Kladno);1;;;;;Kladno;Kokovice;#HODNOTA!;#HODNOTA!
Koldín (Ústí nad Orlicí);1;;;;;Ústí nad Orlicí;Koldín;#HODNOTA!;#HODNOTA!
Koletice (Strakonice);1;;;;;Strakonice;Koletice;#HODNOTA!;#HODNOTA!
Kolná osada obce Brumovice (Opava);1;;;;;Opava;Kolná osada obce Brumovice;#HODNOTA!;#HODNOTA!
Köln-Ehrenfeld (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Köln-Ehrenfeld;#HODNOTA!;#HODNOTA!
Kolný (České Budějovice);1;;;;;České Budějovice;Kolný;#HODNOTA!;#HODNOTA!
Koločava (Ukrajina) (SSSR);1;;;;;Ukrajina;Koločava;#HODNOTA!;#HODNOTA!
Koloděje u Sezenic (Pardubice);1;;Velké a Malé Koloděje https://mapy.cz/s/3qZDH;;;Pardubice;Koloděje u Sezenic;#HODNOTA!;#HODNOTA!
Koloměřice (České Budějovice);1;;;;;České Budějovice;Koloměřice;#HODNOTA!;#HODNOTA!
Koloredov (Frýdek Místek);1;;;;;Frýdek Místek;Koloredov;#HODNOTA!;#HODNOTA!
Koloredov /m.č. Frýdku-Místku/ (Frýdek Místek);1;;;;;Frýdek Místek;Koloredov /m.č. Frýdku-Místku/;#HODNOTA!;#HODNOTA!
Kolšov (Šumperk);1;;;;;Šumperk;Kolšov;#HODNOTA!;#HODNOTA!
Kolumbie (Kolumbie);1;;;;;Kolumbie;Kolumbie;#HODNOTA!;#HODNOTA!
Komárno (Opava);1;;;;;Opava;Komárno;#HODNOTA!;#HODNOTA!
Komín (Brno);1;;;;;Brno;Komín;#HODNOTA!;#HODNOTA!
Komjatice (Nové Zámky);1;;;;;Nové Zámky;Komjatice;#HODNOTA!;#HODNOTA!
Komorno (Ukrajina);1;;;;;Ukrajina;Komorno;#HODNOTA!;#HODNOTA!
Konárovice (Kolín);1;;;;;Kolín;Konárovice;#HODNOTA!;#HODNOTA!
Končenica (Jugoslávie);1;;;;;Jugoslávie;Končenica;#HODNOTA!;#HODNOTA!
Kongo (Kongo);1;Demokratická republika Kongo$$7ge134279;;;;Kongo;Kongo;#HODNOTA!;#HODNOTA!
Königsfeld (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Königsfeld;#HODNOTA!;#HODNOTA!
Königshofen (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Königshofen;#HODNOTA!;#HODNOTA!
Königstein/Homburg (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Königstein/Homburg;#HODNOTA!;#HODNOTA!
Konojedy (Litoměřice);1;;;;;Litoměřice;Konojedy;#HODNOTA!;#HODNOTA!
Koňská (Slovensko);1;;;;;Slovensko;Koňská;#HODNOTA!;#HODNOTA!
Konta (Polsko);1;;;;;Polsko;Konta;#HODNOTA!;#HODNOTA!
Kopanský mlýn u Tuchoměřic (Praha - západ);2;;;;;Praha - západ;Kopanský mlýn u Tuchoměřic;#HODNOTA!;#HODNOTA!
Kopce na Volyni (SSSR);1;;;;;SSSR;Kopce na Volyni;#HODNOTA!;#HODNOTA!
Koprivnica (Chorvatsko);1;;;;;Chorvatsko;Koprivnica;#HODNOTA!;#HODNOTA!
Kopřivná (Šumperk);1;;;;;Šumperk;Kopřivná;#HODNOTA!;#HODNOTA!
Korçë (Albánie);1;;;;;Albánie;Korçë;#HODNOTA!;#HODNOTA!
Korčula (Jugoslávie);1;;;;;Jugoslávie;Korčula;#HODNOTA!;#HODNOTA!
Korea (Jižní Korea);1;;;;;Jižní Korea;Korea;#HODNOTA!;#HODNOTA!
Korkyně (Příbram);1;;;;;Příbram;Korkyně;#HODNOTA!;#HODNOTA!
Korolevo (Ukrajina);1;;;;;Ukrajina;Korolevo;#HODNOTA!;#HODNOTA!
Korostyševo (Ukrajina);1;;;;;Ukrajina;Korostyševo;#HODNOTA!;#HODNOTA!
Korsika (Korsika);1;;;;;Korsika;Korsika;#HODNOTA!;#HODNOTA!
Koryňovka (SSSR);1;;;;;SSSR;Koryňovka;#HODNOTA!;#HODNOTA!
Koslow/Casslau (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Koslow/Casslau;#HODNOTA!;#HODNOTA!
Kosořín u Vysokého Mýta (Ústí nad Orlicí);1;;;;;Ústí nad Orlicí;Kosořín u Vysokého Mýta;#HODNOTA!;#HODNOTA!
Kostelany (Kroměříž);1;;;;;Kroměříž;Kostelany;#HODNOTA!;#HODNOTA!
Kostelec (Strakonice);1;;;;;Strakonice;Kostelec;#HODNOTA!;#HODNOTA!
Kostelní Lhota (Nymburk);1;;;;;Nymburk;Kostelní Lhota;#HODNOTA!;#HODNOTA!
Kostelní Radouň (Jindřichův Hradec);1;;;;;Jindřichův Hradec;Kostelní Radouň;#HODNOTA!;#HODNOTA!
Kostěnice (Pardubice);1;;;;;Pardubice;Kostěnice;#HODNOTA!;#HODNOTA!
Kostolné Moravce (Slovensko);1;;;;;Slovensko;Kostolné Moravce;#HODNOTA!;#HODNOTA!
Kostomlátky (Nymburk);1;;;;;Nymburk;Kostomlátky;#HODNOTA!;#HODNOTA!
Kostrčany (Karlovy Vary);1;;;;;Karlovy Vary;Kostrčany;#HODNOTA!;#HODNOTA!
Košakih (Jugoslávie);1;;;;;Jugoslávie;Košakih;#HODNOTA!;#HODNOTA!
Košariská (Senica);1;;;;;Senica;Košariská;#HODNOTA!;#HODNOTA!
Košatka nad Odrou (Frýdek Místek);1;;;;;Frýdek Místek;Košatka nad Odrou;#HODNOTA!;#HODNOTA!
Košice ();1;;;;;;Košice;#HODNOTA!;#HODNOTA!
Košice (Kolín);1;;;;;Kolín;Košice;#HODNOTA!;#HODNOTA!
Košice /u Uhlířských Janovic/ (Kutná Hora);1;;;;;Kutná Hora;Košice /u Uhlířských Janovic/;#HODNOTA!;#HODNOTA!
Koštěnice (Pardubice);1;;;;;Pardubice;Koštěnice;#HODNOTA!;#HODNOTA!
Kotel u Malé Morávky (Bruntál);1;;;;;Bruntál;Kotel u Malé Morávky;#HODNOTA!;#HODNOTA!
Kotíkov (Pardubice);1;;;;;Pardubice;Kotíkov;#HODNOTA!;#HODNOTA!
Kotor (Jugoslávie);1;;;;;Jugoslávie;Kotor;#HODNOTA!;#HODNOTA!
Kottingbrunn (Rakousko);1;;;;;Rakousko;Kottingbrunn;#HODNOTA!;#HODNOTA!
Koudelov (Kutná Hora);1;;;;;Kutná Hora;Koudelov;#HODNOTA!;#HODNOTA!
Kounice (Kutná Hora);1;;;;;Kutná Hora;Kounice;#HODNOTA!;#HODNOTA!
Kout na Šumavě (Domažlice);1;;;;;Domažlice;Kout na Šumavě;#HODNOTA!;#HODNOTA!
Kovač (Jičín);1;;;;;Jičín;Kovač;#HODNOTA!;#HODNOTA!
Kovalovice u Kojetína (Přerov);1;;;;;Přerov;Kovalovice u Kojetína;#HODNOTA!;#HODNOTA!
Kováň (Krásná Ves-K.) (Mladá Boleslav);1;;;;;Krásná Ves-K.;Kováň;#HODNOTA!;#HODNOTA!
Kovanec (Mladá Boleslav);1;;;;;Mladá Boleslav;Kovanec;#HODNOTA!;#HODNOTA!
Kovářov (Písek);1;;;;;Písek;Kovářov;#HODNOTA!;#HODNOTA!
Kozárovice (Příbram);1;;;;;Příbram;Kozárovice;#HODNOTA!;#HODNOTA!
Kozel (Plzeň jih);1;;;;;Plzeň jih;Kozel;#HODNOTA!;#HODNOTA!
Kozí hrádek (Tábor);1;;;;;Tábor;Kozí hrádek;#HODNOTA!;#HODNOTA!
Kozly (Česká Lípa);1;;;;;Česká Lípa;Kozly;#HODNOTA!;#HODNOTA!
Kozly (Mělník);1;;;;;Mělník;Kozly;#HODNOTA!;#HODNOTA!
Kozojedy (Kolín);1;;;;;Kolín;Kozojedy;#HODNOTA!;#HODNOTA!
Kozojídky (Hradec Králové);1;;;;;Hradec Králové;Kozojídky;#HODNOTA!;#HODNOTA!
Kozolupy (Beroun);1;;;;;Beroun;Kozolupy;#HODNOTA!;#HODNOTA!
Kozov (Olomouc);1;;;;;Olomouc;Kozov;#HODNOTA!;#HODNOTA!
Kracovice (Třebíč);1;;;;;Třebíč;Kracovice;#HODNOTA!;#HODNOTA!
Krahulov (Třebíč);1;;;;;Třebíč;Krahulov;#HODNOTA!;#HODNOTA!
Krajná Bystrá (Bardějov);1;;;;;Bardějov;Krajná Bystrá;#HODNOTA!;#HODNOTA!
Krakov (Rakovník);1;;;;;Rakovník;Krakov;#HODNOTA!;#HODNOTA!
Král\'ova Lehota (Liptovský Mikuláš);1;;;;;Liptovský Mikuláš;Král\'ova Lehota;#HODNOTA!;#HODNOTA!
Králka (Kolín);1;;;;;Kolín;Králka;#HODNOTA!;#HODNOTA!
Kralovice (Dřínov-Královice) (Kladno);1;;;;;Dřínov-Královice;Kralovice;#HODNOTA!;#HODNOTA!
Kralovice (Kladno);1;;;;;Kladno;Kralovice;#HODNOTA!;#HODNOTA!
Královice (Kladno);1;;;;;Kladno;Královice;#HODNOTA!;#HODNOTA!
Královo nad Tisou (Ukrajina);1;;;;;Ukrajina;Královo nad Tisou;#HODNOTA!;#HODNOTA!
Království (Děčín);1;;;;;Děčín;Království;#HODNOTA!;#HODNOTA!
Králův Dvůr (Hradec Králové);1;;;;;Hradec Králové;Králův Dvůr;#HODNOTA!;#HODNOTA!
Kraňsko (Slovinsko);1;Kraňsko$$7ge130857;;;;Slovinsko;Kraňsko;#HODNOTA!;#HODNOTA!
Krapice (Cheb);1;;;;;Cheb;Krapice;#HODNOTA!;#HODNOTA!
Krapina (Jugoslávie);1;;;;;Jugoslávie;Krapina;#HODNOTA!;#HODNOTA!
Krasíkov (Tachov);1;;;;;Tachov;Krasíkov;#HODNOTA!;#HODNOTA!
Krasíkovice (Pelhřimov);1;;;;;Pelhřimov;Krasíkovice;#HODNOTA!;#HODNOTA!
Kraskov (Chrudim);1;;;;;Chrudim;Kraskov;#HODNOTA!;#HODNOTA!
Kraskovo ();1;;;;;;Kraskovo;#HODNOTA!;#HODNOTA!
Krasna (Polsko);1;;;;;Polsko;Krasna;#HODNOTA!;#HODNOTA!
Krásná (Vsetín);1;;;;;Vsetín;Krásná;#HODNOTA!;#HODNOTA!
Krásněves (Ždár nad Sázavou);1;;;;;Ždár nad Sázavou;Krásněves;#HODNOTA!;#HODNOTA!
Krásno (Cheb);1;;;;;Cheb;Krásno;#HODNOTA!;#HODNOTA!
Krasno (Polsko);1;;;;;Polsko;Krasno;#HODNOTA!;#HODNOTA!
Krasnojarsk (SSSR);1;;;;;SSSR;Krasnojarsk;#HODNOTA!;#HODNOTA!
Krasoňov (Pelhřimov);1;;;;;Pelhřimov;Krasoňov;#HODNOTA!;#HODNOTA!
Krasov (Bruntál);1;;;;;Bruntál;Krasov;#HODNOTA!;#HODNOTA!
Krašovice (Plzeň sever);1;;;;;Plzeň sever;Krašovice;#HODNOTA!;#HODNOTA!
Kravařov (Opava);1;;;;;Opava;Kravařov;#HODNOTA!;#HODNOTA!
Krbice (Chomutov);1;;;;;Chomutov;Krbice;#HODNOTA!;#HODNOTA!
Krčava (Michalovce);1;;;;;Michalovce;Krčava;#HODNOTA!;#HODNOTA!
Krčín (Nové Mesto nad Váhom);1;;;;;Nové Mesto nad Váhom;Krčín;#HODNOTA!;#HODNOTA!
Krčkovice (Semily);1;;;;;Semily;Krčkovice;#HODNOTA!;#HODNOTA!
Krčmaň (Olomouc);1;;;;;Olomouc;Krčmaň;#HODNOTA!;#HODNOTA!
Krempno (Polsko);1;;;;;Polsko;Krempno;#HODNOTA!;#HODNOTA!
Kresir (Maďarsko);1;;;;;Maďarsko;Kresir;#HODNOTA!;#HODNOTA!
Kreslava (SSSR);1;;;;;SSSR;Kreslava;#HODNOTA!;#HODNOTA!
Kreuzberg bei Freyung (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Kreuzberg bei Freyung;#HODNOTA!;#HODNOTA!
Krhovice (Znojmo);1;;;;;Znojmo;Krhovice;#HODNOTA!;#HODNOTA!
Krchleby (Šumperk);1;;;;;Šumperk;Krchleby;#HODNOTA!;#HODNOTA!
Krchova Lomná (Tábor);1;https://mapy.cz/s/3r1VL;;;;Tábor;Krchova Lomná;#HODNOTA!;#HODNOTA!
Krieglach (Rakousko);2;;;;;Rakousko;Krieglach;#HODNOTA!;#HODNOTA!
Kristiánov (Liberec);1;;;;;Liberec;Kristiánov;#HODNOTA!;#HODNOTA!
Kritzendorf (Rakousko);2;;;;;Rakousko;Kritzendorf;#HODNOTA!;#HODNOTA!
Krivaj u Lipovjanu (Jugoslávie);1;;;;;Jugoslávie;Krivaj u Lipovjanu;#HODNOTA!;#HODNOTA!
Križevci (Jugoslávie);1;;;;;Jugoslávie;Križevci;#HODNOTA!;#HODNOTA!
Križevsi (Jugoslávie);1;;;;;Jugoslávie;Križevsi;#HODNOTA!;#HODNOTA!
Krnčice (Třebíč);1;;;;;Třebíč;Krnčice;#HODNOTA!;#HODNOTA!
Krnov (Olomouc);1;;;;;Olomouc;Krnov;#HODNOTA!;#HODNOTA!
Krnsko (Mladá Boleslav);1;;;;;Mladá Boleslav;Krnsko;#HODNOTA!;#HODNOTA!
Krompachy (Spišská Nová Ves);1;;;;;Spišská Nová Ves;Krompachy;#HODNOTA!;#HODNOTA!
Kronberg (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Kronberg;#HODNOTA!;#HODNOTA!
Krosna (Polsko);1;;;;;Polsko;Krosna;#HODNOTA!;#HODNOTA!
Krosno (Polsko);1;;;;;Polsko;Krosno;#HODNOTA!;#HODNOTA!
Krouny (Chrudim);1;;;;;Chrudim;Krouny;#HODNOTA!;#HODNOTA!
Krtíš (Slovensko);1;;;;;Slovensko;Krtíš;#HODNOTA!;#HODNOTA!
Krty (Strakonice);1;;;;;Strakonice;Krty;#HODNOTA!;#HODNOTA!
Krukanice (Plzeň sever);1;;;;;Plzeň sever;Krukanice;#HODNOTA!;#HODNOTA!
Krumbach (Německo);1;;;;;Německo;Krumbach;#HODNOTA!;#HODNOTA!
Krumpach (Šumperk);1;;;;;Šumperk;Krumpach;#HODNOTA!;#HODNOTA!
Krupá (Rakovník);1;;;;;Rakovník;Krupá;#HODNOTA!;#HODNOTA!
Krupín (Chrudim);1;;;;;Chrudim;Krupín;#HODNOTA!;#HODNOTA!
Kruty (Kolín);1;;;;;Kolín;Kruty;#HODNOTA!;#HODNOTA!
Kryry (Sokolov);1;;;;;Sokolov;Kryry;#HODNOTA!;#HODNOTA!
Krzeszowice (Polsko);1;;;;;Polsko;Krzeszowice;#HODNOTA!;#HODNOTA!
Křečkov (Nymburk);1;;;;;Nymburk;Křečkov;#HODNOTA!;#HODNOTA!
Křečov (Plzeň sever);1;;;;;Plzeň sever;Křečov;#HODNOTA!;#HODNOTA!
Křekov (Zlín);1;;;;;Zlín;Křekov;#HODNOTA!;#HODNOTA!
Křemešník (Pelhřimov);1;;;;;Pelhřimov;Křemešník;#HODNOTA!;#HODNOTA!
Křemýž (Teplice);1;;;;;Teplice;Křemýž;#HODNOTA!;#HODNOTA!
Křenovice (Kroměříž);1;;;;;Kroměříž;Křenovice;#HODNOTA!;#HODNOTA!
Křepkovice (Karlovy Vary);1;;;;;Karlovy Vary;Křepkovice;#HODNOTA!;#HODNOTA!
Křičeň (Pardubice);1;;;;;Pardubice;Křičeň;#HODNOTA!;#HODNOTA!
Křídla (Ždár nad Sázavou);1;;;;;Ždár nad Sázavou;Křídla;#HODNOTA!;#HODNOTA!
Křimov (Chomutov);1;;;;;Chomutov;Křimov;#HODNOTA!;#HODNOTA!
Křinice (Náchod);1;;;;;Náchod;Křinice;#HODNOTA!;#HODNOTA!
Křivá Voda (Šumperk);1;;;;;Šumperk;Křivá Voda;#HODNOTA!;#HODNOTA!
Křivé (Vsetín);1;;;;;Vsetín;Křivé;#HODNOTA!;#HODNOTA!
Křivsoudov (Havlíčkův Brod);1;;;;;Havlíčkův Brod;Křivsoudov;#HODNOTA!;#HODNOTA!
Křižanov (Šumperk);1;;;;;Šumperk;Křižanov;#HODNOTA!;#HODNOTA!
Křížky (Jablonec nad Nisou);1;;;;;Jablonec nad Nisou;Křížky;#HODNOTA!;#HODNOTA!
Křížlice (Semily);1;;;;;Semily;Křížlice;#HODNOTA!;#HODNOTA!
Křížov pod Blaníkem (Benešov);1;;;;;Benešov;Křížov pod Blaníkem;#HODNOTA!;#HODNOTA!
Křižovatka (Cheb);1;;;;;Cheb;Křižovatka;#HODNOTA!;#HODNOTA!
Křtěnovice (Tábor);1;;;;;Tábor;Křtěnovice;#HODNOTA!;#HODNOTA!
Křtětice (Strakonice);1;;;;;Strakonice;Křtětice;#HODNOTA!;#HODNOTA!
Křtiny (Blansko);1;;;;;Blansko;Křtiny;#HODNOTA!;#HODNOTA!
Kšely (Kolín);1;;;;;Kolín;Kšely;#HODNOTA!;#HODNOTA!
Ktiš (Český Krumlov);1;;;;;Český Krumlov;Ktiš;#HODNOTA!;#HODNOTA!
Kubova Huť (Prachatice);1;;;;;Prachatice;Kubova Huť;#HODNOTA!;#HODNOTA!
Kubrá (Trenčín);1;;;;;Trenčín;Kubrá;#HODNOTA!;#HODNOTA!
Kudlov (Zlín);1;;;;;Zlín;Kudlov;#HODNOTA!;#HODNOTA!
Kudowa-Zdrój (Polsko);1;;;;;Polsko;Kudowa-Zdrój;#HODNOTA!;#HODNOTA!
Kues (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Kues;#HODNOTA!;#HODNOTA!
Kufstein (Rakousko);1;;;;;Rakousko;Kufstein;#HODNOTA!;#HODNOTA!
Kühnsdorf (Rakousko);1;;;;;Rakousko;Kühnsdorf;#HODNOTA!;#HODNOTA!
Kuchařovice (Znojmo);1;;;;;Znojmo;Kuchařovice;#HODNOTA!;#HODNOTA!
Küchberg (Švýcarsko);1;;;;;Švýcarsko;Küchberg;#HODNOTA!;#HODNOTA!
Kuková (Bardějov);1;;;;;Bardějov;Kuková;#HODNOTA!;#HODNOTA!
Kuks (Trutnov);1;;;;;Trutnov;Kuks;#HODNOTA!;#HODNOTA!
Kulířov (Blansko);3;;;;;Blansko;Kulířov;#HODNOTA!;#HODNOTA!
Kumbach (Německo);1;;;;;Německo;Kumbach;#HODNOTA!;#HODNOTA!
Kunčí (Chrudim);1;;;;;Chrudim;Kunčí;#HODNOTA!;#HODNOTA!
Kunčina (Svitavy);1;;;;;Svitavy;Kunčina;#HODNOTA!;#HODNOTA!
Kundratice (Semily);1;;;;;Semily;Kundratice;#HODNOTA!;#HODNOTA!
Kunrátov (Cheb);1;;;;;Cheb;Kunrátov;#HODNOTA!;#HODNOTA!
Kuopio (Finsko);1;;;;;Finsko;Kuopio;#HODNOTA!;#HODNOTA!
Kupičovo (SSSR);1;;;;;SSSR;Kupičovo;#HODNOTA!;#HODNOTA!
Küps (Spolková republ. Německo);1;;;;;Spolková republ. Německo;Küps;#HODNOTA!;#HODNOTA!
Kurská gubernie (Rusko);1;;;;;Rusko;Kurská gubernie;#HODNOTA!;#HODNOTA!
Kurzbach (Příbram);1;;;;;Příbram;Kurzbach;#HODNOTA!;#HODNOTA!
Kustanaj (SSSR);1;;;;;SSSR;Kustanaj;#HODNOTA!;#HODNOTA!
Kuvajt (Kuvajt);1;;;;;Kuvajt;Kuvajt;#HODNOTA!;#HODNOTA!
Kuzněck (SSSR);1;;;;;SSSR;Kuzněck;#HODNOTA!;#HODNOTA!
Kvasejovice (Tábor);1;;;;;Tábor;Kvasejovice;#HODNOTA!;#HODNOTA!
Kvasilov (Ukrajina);1;;;;;Ukrajina;Kvasilov;#HODNOTA!;#HODNOTA!
Kvetnica (Poprad-K.) (Poprad);1;;;;;Poprad-K.;Kvetnica;#HODNOTA!;#HODNOTA!
